slug,type,title_length,excerpt_length,flags,title,excerpt,updated_at
electronics/apple-products/apple-2026-macbook-neo-13-inch-laptop-with-a18-pro-chip-4,REVIEW,55,195,weak_intent_keyword|excerpt_too_long,Apple 2026 MacBook Neo 13-inch Laptop with A18 Pro Chip,"The Apple MacBook Neo 13-inch combines powerful AI-driven performance with a vibrant Liquid Retina display and all-day battery life, making it an excellent choice for students and everyday users.",2026-05-01T06:01:04.832Z
electronics/apple-products/apple-ipad-air-11-inch-m4-with-liquid-retina-display-and-256gb-storage,REVIEW,72,192,title_too_long|weak_intent_keyword|excerpt_too_long,Apple iPad Air 11-inch (M4) with Liquid Retina Display and 256GB Storage,"The Apple iPad Air 11-inch (M4) combines powerful performance with a vibrant Liquid Retina display and advanced cameras, making it a versatile device for productivity and creativity on the go.",2026-05-01T00:01:12.449Z
electronics/tools-home-improvement/xool-368-piece-home-repair-tool-kit-with-drawer-toolbox,REVIEW,55,195,weak_intent_keyword|excerpt_too_long,XOOL 368 Piece Home Repair Tool Kit with Drawer Toolbox,"The XOOL 368 Piece Home Repair Tool Kit offers a comprehensive and durable set of tools housed in a convenient drawer-style toolbox, perfect for a wide range of home, office, and garage projects.",2026-04-30T18:01:04.050Z
electronics/computers-tablets/microsoft-surface-pro-2-in-1-laptop-tablet-2025-with-windows-11-copilot-and-snapdragon-x-plus,REVIEW,96,207,title_too_long|weak_intent_keyword|excerpt_too_long,Microsoft Surface Pro 2-in-1 Laptop/Tablet (2025) with Windows 11 Copilot+ and Snapdragon X Plus,"The Microsoft Surface Pro 2025 combines powerful AI-enhanced performance with versatile 2-in-1 functionality, featuring a vibrant 12-inch touchscreen and long-lasting battery life for productivity on the go.",2026-04-30T12:01:12.772Z
electronics/computers-tablets/lenovo-tab-one-lightweight-tablet-with-8-7-hd-display-and-long-battery-life,REVIEW,76,205,title_too_long|weak_intent_keyword|excerpt_too_long,"Lenovo Tab One Lightweight Tablet with 8.7"" HD Display and Long Battery Life","The Lenovo Tab One is a compact and lightweight tablet featuring an 8.7-inch HD screen, MediaTek Helio G85 processor, and up to 12.5 hours of YouTube streaming, making it ideal for on-the-go entertainment.",2026-04-30T06:01:05.559Z
electronics/cell-phone-accessories/lisen-usb-c-to-usb-c-cable-5-pack-fast-charging-and-durable-braided-cords,REVIEW,75,157,title_too_long|weak_intent_keyword,LISEN USB C to USB C Cable 5-Pack – Fast Charging and Durable Braided Cords,"The LISEN USB C to USB C Cable 5-Pack offers versatile fast charging with durable, eco-friendly braided cables compatible with a wide range of USB-C devices.",2026-04-30T00:01:22.335Z
electronics/portable-speakers/soundcore-boom-2-by-anker-powerful-outdoor-bluetooth-speaker-with-80w-bass-and-24-hour-playtime,REVIEW,97,176,title_too_long|weak_intent_keyword,Soundcore Boom 2 by Anker - Powerful Outdoor Bluetooth Speaker with 80W Bass and 24-Hour Playtime,"The Soundcore Boom 2 by Anker is a rugged, high-performance portable speaker delivering deep bass, clear stereo sound, and all-day battery life, perfect for outdoor adventures.",2026-04-29T18:01:18.962Z
electronics/apple-products/apple-2026-macbook-air-13-inch-laptop-with-m5-chip,REVIEW,50,181,weak_intent_keyword|excerpt_too_long,Apple 2026 MacBook Air 13-inch Laptop with M5 Chip,"The 2026 MacBook Air combines the powerful M5 chip with a stunning 13.6-inch Liquid Retina display, offering exceptional performance and AI capabilities in a sleek, portable design.",2026-04-29T12:01:10.005Z
electronics/headphones/sony-wh-ch720n-wireless-noise-cancelling-over-ear-headphones-with-alexa,REVIEW,71,178,title_too_long|weak_intent_keyword,Sony WH-CH720N Wireless Noise Cancelling Over-Ear Headphones with Alexa,"The Sony WH-CH720N headphones offer lightweight comfort, advanced noise cancellation, and smart features like Alexa built-in, making them ideal for immersive listening on the go.",2026-04-29T06:01:09.401Z
electronics/car-vehicle-electronics/windex-automotive-car-window-and-glass-cleaner-23-fl-oz,REVIEW,56,183,weak_intent_keyword|excerpt_too_long,"Windex Automotive Car Window and Glass Cleaner, 23 fl oz","Windex Automotive offers a streak-free cleaning solution specially formulated for car windows, tinted glass, and interior electronics, ensuring clear visibility and a spotless finish.",2026-04-29T00:01:04.853Z
electronics/health-monitor/apple-watch-series-11-gps-42mm-smartwatch-with-rose-gold-aluminum-case-and-light-blush-sport-ban,REVIEW,97,167,title_too_long|weak_intent_keyword,Apple Watch Series 11 GPS 42mm Smartwatch with Rose Gold Aluminum Case and Light Blush Sport Band,"The Apple Watch Series 11 offers comprehensive health monitoring, advanced fitness tracking, and safety features in a sleek, durable design with improved battery life.",2026-04-28T18:00:59.505Z
electronics/cell-phone-chargers-power-adapters/usb-wall-charger-4-pack-with-dual-usb-ports-for-fast-and-convenient-charging,REVIEW,76,163,title_too_long|weak_intent_keyword,USB Wall Charger 4-Pack with Dual USB Ports for Fast and Convenient Charging,"This 4-pack of dual-port USB wall chargers offers reliable and efficient charging for a wide range of devices, combining portability with built-in safety features.",2026-04-28T12:01:04.149Z
electronics/portable-speakers/portable-bluetooth-speaker-beach-essentials-with-ipx5-waterproof-and-dynamic-light,REVIEW,82,168,title_too_long|weak_intent_keyword,Portable Bluetooth Speaker Beach Essentials with IPX5 Waterproof and Dynamic Light,"This compact and lightweight Bluetooth speaker delivers powerful, clear sound with vibrant LED lights and durable waterproof design, perfect for outdoor and indoor use.",2026-04-28T06:01:05.137Z
